GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Smartfarm,com.thina.smartfarm.security,DomainUserDetailsService,20,111,0,4,0,20,2,8,2,6
Smartfarm,com.thina.smartfarm.security,SecurityUtils,67,19,11,1,15,6,12,2,6,2
Smartfarm,com.thina.smartfarm.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Smartfarm,com.thina.smartfarm.security,SpringSecurityAuditorAware,0,9,0,0,0,2,0,2,0,2
Smartfarm,com.thina.smartfarm.config.audit,AuditEventConverter,42,84,8,8,10,19,7,6,1,4
Smartfarm,com.thina.smartfarm.service.dto,PasswordChangeDTO,0,26,0,0,0,12,0,6,0,6
Smartfarm,com.thina.smartfarm.service.dto,UserDTO,0,242,0,0,0,60,0,29,0,29
Smartfarm,com.thina.smartfarm.web.rest,UserJWTController,0,67,0,2,0,13,0,3,0,2
Smartfarm,com.thina.smartfarm.web.rest,AccountResource,12,188,2,20,1,47,3,20,1,11
Smartfarm,com.thina.smartfarm.web.rest,AccountResource.AccountResourceException,0,4,0,0,0,2,0,1,0,1
Smartfarm,com.thina.smartfarm.web.rest,UserJWTController.JWTToken,4,9,0,0,2,4,1,2,1,2
Smartfarm,com.thina.smartfarm.web.rest,AuditResource,0,60,0,0,0,12,0,4,0,4
Smartfarm,com.thina.smartfarm.web.rest,UserResource,0,201,0,14,0,39,0,14,0,7
Smartfarm,com.thina.smartfarm.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Smartfarm,com.thina.smartfarm.domain,PersistentAuditEvent_,3,0,0,0,1,0,1,0,1,0
Smartfarm,com.thina.smartfarm.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Smartfarm,com.thina.smartfarm.domain,Authority,0,45,0,4,0,11,0,8,0,6
Smartfarm,com.thina.smartfarm.domain,PersistentAuditEvent,0,95,0,8,0,24,0,18,0,14
Smartfarm,com.thina.smartfarm.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Smartfarm,com.thina.smartfarm.domain,User_,3,0,0,0,1,0,1,0,1,0
Smartfarm,com.thina.smartfarm.domain,User,0,196,0,8,0,50,0,34,0,30
Smartfarm,com.thina.smartfarm.service.mapper,UserMapper,0,118,0,6,0,37,0,11,0,8
Smartfarm,com.thina.smartfarm.web.rest.vm,KeyAndPasswordVM,0,17,0,0,0,7,0,5,0,5
Smartfarm,com.thina.smartfarm.web.rest.vm,LoginVM,19,24,0,0,1,10,1,7,1,7
Smartfarm,com.thina.smartfarm.web.rest.vm,ManagedUserVM,12,10,0,0,1,5,1,3,1,3
Smartfarm,com.thina.smartfarm.aop.logging,LoggingAspect,177,0,10,0,24,0,10,0,5,0
Smartfarm,com.thina.smartfarm.config,WebConfigurer,59,29,7,1,13,9,6,2,2,2
Smartfarm,com.thina.smartfarm.config,JacksonConfiguration,0,27,0,0,0,7,0,7,0,7
Smartfarm,com.thina.smartfarm.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Smartfarm,com.thina.smartfarm.config,LiquibaseConfiguration,4,91,1,1,1,21,1,2,0,2
Smartfarm,com.thina.smartfarm.config,LoggingConfiguration,7,55,6,4,1,16,5,1,0,1
Smartfarm,com.thina.smartfarm.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Smartfarm,com.thina.smartfarm.config,CacheConfiguration,142,156,7,3,24,35,6,7,2,6
Smartfarm,com.thina.smartfarm.config,DatabaseConfiguration,40,10,4,0,10,4,4,1,2,1
Smartfarm,com.thina.smartfarm.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Smartfarm,com.thina.smartfarm.config,DefaultProfileUtil,13,0,0,0,4,0,1,0,1,0
Smartfarm,com.thina.smartfarm.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Smartfarm,com.thina.smartfarm.config,SecurityConfiguration,0,196,0,0,0,50,0,5,0,5
Smartfarm,com.thina.smartfarm.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Smartfarm,com.thina.smartfarm.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Smartfarm,com.thina.smartfarm.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
Smartfarm,com.thina.smartfarm.security.jwt,JWTFilter,45,6,8,0,11,3,6,1,2,1
Smartfarm,com.thina.smartfarm.security.jwt,TokenProvider,67,108,1,3,18,28,3,4,2,3
Smartfarm,com.thina.smartfarm,SmartfarmApp,110,24,10,2,23,8,8,3,2,3
Smartfarm,com.thina.smartfarm,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Smartfarm,com.thina.smartfarm.service,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
Smartfarm,com.thina.smartfarm.service,UserService,18,589,2,10,3,157,4,31,2,27
Smartfarm,com.thina.smartfarm.service,UsernameAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Smartfarm,com.thina.smartfarm.service,MailService,0,171,0,0,0,38,0,6,0,6
Smartfarm,com.thina.smartfarm.service,EmailAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Smartfarm,com.thina.smartfarm.service,AuditEventService,0,79,0,0,0,19,0,6,0,6
Smartfarm,com.thina.smartfarm.repository,CustomAuditEventRepository,12,122,2,10,3,28,3,7,1,3
Smartfarm,com.thina.smartfarm.service.util,RandomUtil,0,24,0,0,0,7,0,5,0,5
Smartfarm,com.thina.smartfarm.web.rest.errors,ErrorConstants,0,22,0,0,0,7,0,1,0,1
Smartfarm,com.thina.smartfarm.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Smartfarm,com.thina.smartfarm.web.rest.errors,EmailNotFoundException,0,6,0,0,0,2,0,1,0,1
Smartfarm,com.thina.smartfarm.web.rest.errors,ExceptionTranslator,27,218,4,10,9,42,5,12,1,9
Smartfarm,com.thina.smartfarm.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Smartfarm,com.thina.smartfarm.web.rest.errors,BadRequestAlertException,0,54,0,0,0,12,0,5,0,5
Smartfarm,com.thina.smartfarm.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Smartfarm,com.thina.smartfarm.web.rest.errors,InvalidPasswordException,0,6,0,0,0,2,0,1,0,1
